0.013834,56.035,0.020341
0.014322,52.051,0.023801
0.01481,49.421,0.027237
0.015231,46.111,0.030825
0.015915,41.929,0.035767
0.016441,38.701,0.040389
0.017131,36.037,0.044173
0.018152,32.182,0.049638
0.019214,29.097,0.054921
0.019952,27.42,0.058677
0.020122,26.689,0.06139
0.020283,26.264,0.063531
0.020812,24.499,0.06842
0.021625,23.135,0.072693
0.021832,22.59,0.075477
0.022134,21.746,0.07871
0.022337,21.213,0.081498
0.023219,19.547,0.086874
0.024018,18.461,0.091495
0.024151,18.2,0.09372
0.025235,17.012,0.098771
0.025561,16.401,0.10251
0.025735,16.213,0.10444
0.025823,15.948,0.10705
0.025878,15.84,0.10867
0.02594,15.662,0.11075
0.02649,15.197,0.11375
9.216e-05,82.503,0.0014862
9.6692e-05,73.563,0.0019491
0.00010203,64.753,0.0024562
0.00011741,47.62,0.0033091
0.00011803,46.592,0.0035652
0.00011832,46.378,0.0036465
0.00012232,42.507,0.0041376
0.00012469,41.137,0.0043408
0.00013817,32.844,0.0050994
0.00014828,28.172,0.0057005
0.0001492,27.762,0.0059255
0.0001495,27.143,0.0063261
0.00014934,26.793,0.006653
0.00014922,26.414,0.0069982
0.00014817,26.418,0.0073008
0.00014722,26.332,0.0076502
0.00015515,24.176,0.0079783
0.00015917,23.153,0.0082414
0.00015958,23.018,0.0083651
0.00015882,23.067,0.0085514
0.00015824,22.825,0.0089629
0.000157,22.822,0.0093276
0.00016486,20.02,0.010228
0.00016449,19.603,0.010834
0.00016326,19.733,0.011086
0.0001631,19.754,0.011172
0.00016085,20.081,0.011439
